"trial","ref_position","var_area","response","correct","rt"
1,"R",11.4258094241377,"L",TRUE,2.08699989318848
2,"R",9.54451632825658,"L",TRUE,0.990999937057495
3,"R",8.83656261279248,"L",FALSE,0.592999935150146
4,"R",10.501601311611,"L",TRUE,0.296000003814697
5,"L",11.2890374884009,"L",FALSE,0.197000026702881
6,"L",9.5752114886418,"L",FALSE,0.29800009727478
7,"R",11.9495707435999,"L",TRUE,0.296000003814697
8,"L",8.97945074853487,"L",TRUE,0.292999982833862
9,"L",11.4743123615626,"L",FALSE,0.193000078201294
10,"R",14.8462060077582,"L",TRUE,0.134999990463257
11,"R",14.4456492136233,"L",TRUE,0.197000026702881
12,"R",11.7875523325056,"L",TRUE,0.299000024795532
13,"L",12.7022275768686,"L",FALSE,0.127000093460083
14,"R",9.75669058901258,"L",TRUE,0.297000169754028
15,"R",12.7756133731455,"L",TRUE,0.197000026702881
16,"L",10.1621386145707,"L",FALSE,0.197000026702881
17,"R",14.0108437663876,"L",TRUE,0.296000003814697
18,"L",8.28070889296941,"L",TRUE,0.296999931335449
19,"R",8.75564531818964,"L",FALSE,0.296000003814697
20,"L",11.7915498779621,"L",FALSE,0.196000099182129
21,"L",10.8790378603153,"L",FALSE,0.29800009727478
22,"L",8.49250779766589,"L",TRUE,0.197000026702881
23,"R",10.5192342486698,"L",TRUE,0.197000026702881